Year,Chapter,Total
2025,BSSU,81616.22
2025,MEAWU,14452.37
2025,KIWA,4890.27
2025,LA LABOR FED,8694.58
2025,NVLF,5200.14
2025,PROTEC17,24598.15
2025,SEIU 121RN,2652.9
2025,SEIU 2015,140821.42
2025,SEIU 221,14863.4
2025,SEIU 925,33227.09
2025,UDWU,57026.48
2025,UFCW 3000,37104.49
2025,UFCW 3000,35563.53
2025,UFCW367,4833.19
2025,Working WA,9995.25
2024,BSSU,68770.46
2024,MEAWU,976.44
2024,LA LABOR FED,8283.67
2024,NVLF,3308.83
2024,PROTEC17,21149.9
2024,SEIU 121RN,18820.74
2024,SEIU 2015,131022.62
2024,SEIU 221,11562.15
2024,SEIU 925,26925.75
2024,UFCW 3000,68224.5
2024,Working WA,11651.44
2023,BSSU,61641.62
2023,LA LABOR FED,3022.55
2023,PROTEC17,18738.45
2023,SEIU 121RN,23293.98
2023,SEIU 2015,145430.96
2023,SEIU 221,11196.77
2023,SEIU 925,28292.69
2023,UFCW 3000,49956
2023,Working WA,10214.36
